frase,label,prefijo,raiz,sufijo,apostrofe,persona,error
laabe bizuló'be,1,laabe,bizuló,be,1,3sg,correto
laanu bizulo'nu,1,laanu,bizulo,nu,1,1pl_incl,correto
laadu bizulo'du,1,laadu,bizulo,du,1,1pl_exc,correto
laatu bizulo'tu,1,laatu,bizulo,tu,1,2pl,correto
naa bidxela,1,naa,bidxeela,ZERO,0,1sg,correto
lii bidxela'lu,1,lii,bidxela,lu,1,2sg,correto
laabe bidxela'be,1,laabe,bidxela,be,1,3sg,correto
laanu bidxela'nu,1,laanu,bidxela,nu,1,1pl_incl,correto
laadu bidxela'du,1,laadu,bidxela,du,1,1pl_exc,correto
laatu bidxela'tu,1,laatu,bidxela,tu,1,2pl,correto
naa guca huaraya,1,naa,guca huaraya,ZERO,0,1sg,correto
lii guca huara'lu,1,lii,guca huara,lu,1,2sg,correto
laabe guca huara'be,1,laabe,guca huara,be,1,3sg,correto
laanu guca huara'nu,1,laanu,guca huara,nu,1,1pl_incl,correto
laadu guca huara'du,1,laadu,guca huara,du,1,1pl_exc,correto
laatu guca huara'tu,1,laatu,guca huara,tu,1,2pl,correto
naa bisiide,1,naa,bisiide,ZERO,0,1sg,correto
lii bissidi'lu,1,lii,bissidi,lu,1,2sg,correto
laabe bissidi'be,1,laabe,bissidi,be,1,3sg,correto
laanu bissidi'nu,1,laanu,bissidi,nu,1,1pl_incl,correto
laadu bissidi'du,1,laadu,bissidi,du,1,1pl_exc,correto
laatu bissidi'tu,1,laatu,bissidi,tu,1,2pl,correto
naa bioá,1,naa,bioá,ZERO,0,1sg,correto
lii bioa'lu,1,lii,bioa,lu,1,2sg,correto
laabe bioa'be,1,laabe,bioa,be,1,3sg,correto
laanu bioa'nu,1,laanu,bioa,nu,1,1pl_incl,correto
laadu bioa'du,1,laadu,bioa,du,1,1pl_exc,correto
laatu bioa'tu,1,laatu,bioa,tu,1,2pl,correto
naa bisenda,1,naa,bisenda,ZERO,0,1sg,correto
lii bisenda'lu,1,lii,bisenda,lu,1,2sg,correto
laabe bisenda'be,1,laabe,bisenda,be,1,3sg,correto
laanu bisenda'nu,1,laanu,bisenda,nu,1,1pl_incl,correto
laadu bisenda'du,1,laadu,bisenda,du,1,1pl_exc,correto
laatu bisenda'tu,1,laatu,bisenda,tu,1,2pl,correto
naa bicáa,1,naa,bicáa,ZERO,0,1sg,correto
lii bicaa'lu,1,lii,bicaa,lu,1,2sg,correto
laabe bicaa'be,1,laabe,bicaa,be,1,3sg,correto
laanu bicaa'nu,1,laanu,bicaa,nu,1,1pl_incl,correto
laadu bicaa'du,1,laadu,bicaa,du,1,1pl_exc,correto
laatu bicaa'tu,1,laatu,bicaa,tu,1,2pl,correto
naa biina,1,naa,biina,ZERO,0,1sg,correto
lii biina'lu,1,lii,biina,lu,1,2sg,correto
laabe biina'be,1,laabe,biina,be,1,3sg,correto
laanu biina'nu,1,laanu,biina,nu,1,1pl_incl,correto
laadu biina'du,1,laadu,biina,du,1,1pl_exc,correto
laatu biina'tu,1,laatu,biina,tu,1,2pl,correto
naa guleeza,1,naa,guleeza,ZERO,0,1sg,correto
lii guleeza'lu,1,lii,guleeza,lu,1,2sg,correto
laabe guleeza'be,1,laabe,guleeza,be,1,3sg,correto
laanu guleeza'nu,1,laanu,guleeza,nu,1,1pl_incl,correto
laadu guleeza'du,1,laadu,guleeza,du,1,1pl_exc,correto
laatu guleeza'tu,1,laatu,guleeza,tu,1,2pl,correto
naa biziide,1,naa,biziide,ZERO,0,1sg,correto
lii biziidi'lu,1,lii,biziidi,lu,1,2sg,correto
laabe biziidi'be,1,laabe,biziidi,be,1,3sg,correto
laanu biziidi'nu,1,laanu,biziidi,nu,1,1pl_incl,correto
laadu biziidi'du,1,laadu,biziidi,du,1,1pl_exc,correto
laatu biziidi'tu,1,laatu,biziidi,tu,1,2pl,correto
naa guniá,1,naa,guniá,ZERO,0,1sg,correto
lii guni'lu,1,lii,guni,lu,1,2sg,correto
laabe guni'be,1,laabe,guni,be,1,3sg,correto
laanu guni'nu,1,laanu,guni,nu,1,1pl_incl,correto
laadu guni'du,1,laadu,guni,du,1,1pl_exc,correto
laatu guni'tu,1,laatu,guni,tu,1,2pl,correto
naa bine,1,naa,bine,ZERO,0,1sg,correto
lii bini'lu,1,lii,bini,lu,1,2sg,correto
laabe bini'be,1,laabe,bini,be,1,3sg,correto
laanu bini'nu,1,laanu,bini,nu,1,1pl_incl,correto
laadu bini'du,1,laadu,bini,du,1,1pl_exc,correto
laatu bini'tu,1,laatu,bini,tu,1,2pl,correto
naa guyá,1,naa,guyá,ZERO,0,1sg,correto
lii guye'lu,1,lii,guye,lu,1,2sg,correto
laabe guye'be,1,laabe,guye,be,1,3sg,correto
laanu guye'nu,1,laanu,guye,nu,1,1pl_incl,correto
laadu guye'du,1,laadu,guye,du,1,1pl_exc,correto
laatu guye'tu,1,laatu,guye,tu,1,2pl,correto
naa gudxite,1,naa,gudxite,ZERO,0,1sg,correto
lii gudxite'lu,1,lii,gudxite,lu,1,2sg,correto
laabe gudxite'be,1,laabe,gudxite,be,1,3sg,correto
laanu gudxite'nu,1,laanu,gudxite,nu,1,1pl_incl,correto
laadu gudxite'du,1,laadu,gudxite,du,1,1pl_exc,correto
laatu gudxite'tu,1,laatu,gudxite,tu,1,2pl,correto
naa binda,1,naa,binda,ZERO,0,1sg,correto
lii binda'lu,1,lii,binda,lu,1,2sg,correto
laabe binda'be,1,laabe,binda,be,1,3sg,correto
laanu binda'nu,1,laanu,binda,nu,1,1pl_incl,correto
laadu binda'du,1,laadu,binda,du,1,1pl_exc,correto
laatu binda'tu,1,laatu,binda,tu,1,2pl,correto
naa bisiaya,1,naa,bisiaya,ZERO,0,1sg,correto
lii bisia'lu,1,lii,bisia,lu,1,2sg,correto
laabe bisia'be,1,laabe,bisia,be,1,3sg,correto
laanu bisia'nu,1,laanu,bisia,nu,1,1pl_incl,correto
laadu bisia'du,1,laadu,bisia,du,1,1pl_exc,correto
laatu bisia'tu,1,laatu,bisia,tu,1,2pl,correto
naa yendaaya,1,naa,yendaaya,ZERO,0,1sg,correto
lii yendaa'lu,1,lii,yendaa,lu,1,2sg,correto
laabe yendaa'be,1,laabe,yendaa,be,1,3sg,correto
laanu yendaa'nu,1,laanu,yendaa,nu,1,1pl_incl,correto
laadu yendao'du,1,laadu,yendao,du,1,1pl_exc,correto
laatu yendao'tu,1,laatu,yendao,tu,1,2pl,correto
naa yeneá,1,naa,yeneá,ZERO,0,1sg,correto
lii yene'lu,1,lii,yene,lu,1,2sg,correto
laabe yene'be,1,laabe,yene,be,1,3sg,correto
laanu yune'nu,1,laanu,yune,nu,1,1pl_incl,correto
laadu yune'du,1,laadu,yune,du,1,1pl_exc,correto
laatu yune'tu,1,laatu,yune,tu,1,2pl,correto
naa bisaaya,1,naa,bisaaya,ZERO,0,1sg,correto
lii bisaa'lu,1,lii,bisaa,lu,1,2sg,correto
laabe bisaa'be,1,laabe,bisaa,be,1,3sg,correto
laanu bisaa'nu,1,laanu,bisaa,nu,1,1pl_incl,correto
laadu bisaa'du,1,laadu,bisaa,du,1,1pl_exc,correto
laatu bisaa'tu,1,laatu,bisaa,tu,1,2pl,correto
naa biyadxiá,1,naa,biyadxiá,ZERO,0,1sg,correto
lii biyadxi'lu,1,lii,biyadxi,lu,1,2sg,correto
laabe biyadxi'be,1,laabe,biyadxi,be,1,3sg,correto
laanu biyadxi'nu,1,laanu,biyadxi,nu,1,1pl_incl,correto
laadu biyadxi'du,1,laadu,biyadxi,du,1,1pl_exc,correto
laatu biyadxi'tu,1,laatu,biyadxi,tu,1,2pl,correto
naa bixoba,1,naa,bixoba,ZERO,0,1sg,correto
lii bixoba'lu,1,lii,bixoba,lu,1,2sg,correto
laabe bixoba'be,1,laabe,bixoba,be,1,3sg,correto
laanu bixoba'nu,1,laanu,bixoba,nu,1,1pl_incl,correto
laadu bixoba'du,1,laadu,bixoba,du,1,1pl_exc,correto
laatu bixoba'tu,1,laatu,bixoba,tu,1,2pl,correto
naa bisianda,1,naa,bisianda,ZERO,0,1sg,correto
lii bisianda'lu,1,lii,bisianda,lu,1,2sg,correto
laabe bisianda'be,1,laabe,bisianda,be,1,3sg,correto
laanu bisianda'nu,1,laanu,bisianda,nu,1,1pl_incl,correto
laadu bisianda'du,1,laadu,bisianda,du,1,1pl_exc,correto
laatu bisianda'tu,1,laatu,bisianda,tu,1,2pl,correto
naa bisugaa,1,naa,bisugaa,ZERO,0,1sg,correto
lii bisugaa'lu,1,lii,bisugaa,lu,1,2sg,correto
laabe bisugaa'be,1,laabe,bisugaa,be,1,3sg,correto
laanu bisugaa'nu,1,laanu,bisugaa,nu,1,1pl_incl,correto
laadu bisugaa'du,1,laadu,bisugaa,du,1,1pl_exc,correto
laatu bisugaa'tu,1,laatu,bisugaa,tu,1,2pl,correto
naa gudiide,1,naa,gudiide,ZERO,0,1sg,correto
lii gudiidi'lu,1,lii,gudiidi,lu,1,2sg,correto
laabe gudiidi'be,1,laabe,gudiidi,be,1,3sg,correto
laanu gudiidi'nu,1,laanu,gudiidi,nu,1,1pl_incl,correto
laadu gudiidi'du,1,laadu,gudiidi,du,1,1pl_exc,correto
laatu gudiidi'tu,1,laatu,gudiidi,tu,1,2pl,correto
naa gunaba,1,naa,gunaba,ZERO,0,1sg,correto
lii gunaba'lu,1,lii,gunaba,lu,1,2sg,correto
laabe gunaba'be,1,laabe,gunaba,be,1,3sg,correto
laanu gunaba'nu,1,laanu,gunaba,nu,1,1pl_incl,correto
laadu gunaba'du,1,laadu,gunaba,du,1,1pl_exc,correto
laatu gunaba'tu,1,laatu,gunaba,tu,1,2pl,correto
naa bicá,1,naa,bicá,ZERO,0,1sg,correto
lii bica'lu,1,lii,bica,lu,1,2sg,correto
laabe bica'be,1,laabe,bica,be,1,3sg,correto
laanu bica'nu,1,laanu,bica,nu,1,1pl_incl,correto
laadu bica'du,1,laadu,bica,du,1,1pl_exc,correto
laatu bica'tu,1,laatu,bica,tu,1,2pl,correto
naa guni ique,1,naa,guni ique,ZERO,0,1sg,correto
lii guni ique'lu,1,lii,guni ique,lu,1,2sg,correto
laabe guni ique'be,1,laabe,guni ique,be,1,3sg,correto
laanu guni ique'nu,1,laanu,guni ique,nu,1,1pl_incl,correto
laadu guni ique'du,1,laadu,guni ique,du,1,1pl_exc,correto
laatu guni ique'tu,1,laatu,guni ique,tu,1,2pl,correto
naa biui diidxa,1,naa,biui diidxa,ZERO,0,1sg,correto
lii biui'lu diidxa,1,lii,biui diidxa,lu,1,2sg,correto
laabe biui'be diidxa,1,laabe,biui diidxa,be,1,3sg,correto
laanu biui'nu diidxa,1,laanu,biui diidxa,nu,1,1pl_incl,correto
laadu biui'du diidxa,1,laadu,biui diidxa,du,1,1pl_exc,correto
laatu biui'tu diidxa,1,laatu,biui diidxa,tu,1,2pl,correto
naa gudxhe,1,naa,gudxhe,ZERO,0,1sg,correto
lii gudxhe'lu,1,lii,gudxhe,lu,1,2sg,correto
laabe gudxhe'be,1,laabe,gudxhe,be,1,3sg,correto
laanu gudxhe'nu,1,laanu,gudxhe,nu,1,1pl_incl,correto
laadu gudxhe'du,1,laadu,gudxhe,du,1,1pl_exc,correto
laatu gudxhe'tu,1,laatu,gudxhe,tu,1,2pl,correto
naa bitiñe,1,naa,bitiñe,ZERO,0,1sg,correto
lii bitiñe'lu,1,lii,bitiñe,lu,1,2sg,correto
laabe bitine'be,1,laabe,bitine,be,1,3sg,correto
laanu bitine'nu,1,laanu,bitine,nu,1,1pl_incl,correto
laadu bitine'du,1,laadu,bitine,du,1,1pl_exc,correto
laatu bitine'tu,1,laatu,bitine,tu,1,2pl,correto
naa gunna,1,naa,gunna,ZERO,0,1sg,correto
lii gunna'lu,1,lii,gunna,lu,1,2sg,correto
laabe gunna'be,1,laabe,gunna,be,1,3sg,correto
laanu gunna'nu,1,laanu,gunna,nu,1,1pl_incl,correto
laadu gunna'du,1,laadu,gunna,du,1,1pl_exc,correto
laatu gunna'tu,1,laatu,gunna,tu,1,2pl,correto
naa bireá,1,naa,bireá,ZERO,0,1sg,correto
lii bire'lu,1,lii,bire,lu,1,2sg,correto
laabe bire'be,1,laabe,bire,be,1,3sg,correto
laanu bire'nu,1,laanu,bire,nu,1,1pl_incl,correto
laadu bire'du,1,laadu,bire,du,1,1pl_exc,correto
laatu bire'tu,1,laatu,bire,tu,1,2pl,correto
naa bisianda,1,naa,bisianda,ZERO,0,1sg,correto
lii bisianda'lu,1,lii,bisianda,lu,1,2sg,correto
laabe bisianda'be,1,laabe,bisianda,be,1,3sg,correto
laanu bisianda'nu,1,laanu,bisianda,nu,1,1pl_incl,correto
laadu bisianda'du,1,laadu,bisianda,du,1,1pl_exc,correto
laatu bisianda'tu,1,laatu,bisianda,tu,1,2pl,correto
naa guyá,1,naa,guyá,ZERO,0,1sg,correto
lii guye'lu,1,lii,guye,lu,1,2sg,correto
laabe guye'be,1,laabe,guye,be,1,3sg,correto
laanu guye'nu,1,laanu,guye,nu,1,1pl_incl,correto
laadu guye'du,1,laadu,guye,du,1,1pl_exc,correto
laatu guye'tu,1,laatu,guye,tu,1,2pl,correto
naa gudxiba,1,naa,gudxiba,ZERO,0,1sg,correto
lii gudxiba'lu,1,lii,gudxiba,lu,1,2sg,correto
laabe gudxiba'be,1,laabe,gudxiba,be,1,3sg,correto
laanu gudxiba'nu,1,laanu,gudxiba,nu,1,1pl_incl,correto
laadu gudxiba'du,1,laadu,gudxiba,du,1,1pl_exc,correto
laatu gudxiba'tu,1,laatu,gudxiba,tu,1,2pl,correto
naa gupa,1,naa,gupa,ZERO,0,1sg,correto
lii gupa'lu,1,lii,gupa,lu,1,2sg,correto
laabe gupa'be,1,laabe,gupa,be,1,3sg,correto
laanu gupa'nu,1,laanu,gupa,nu,1,1pl_incl,correto
laadu gupa'du,1,laadu,gupa,du,1,1pl_exc,correto
laatu gupa'tu,1,laatu,gupa,tu,1,2pl,correto
naa hueá,1,naa,hueá,ZERO,0,1sg,correto
lii hue'lu,1,lii,hue,lu,1,2sg,correto
laabe hue'be,1,laabe,hue,be,1,3sg,correto
laanu hue'nu,1,laanu,hue,nu,1,1pl_incl,correto
laadu hue'du,1,laadu,hue,du,1,1pl_exc,correto
laatu hue'tu,1,laatu,hue,tu,1,2pl,correto
naa bine dxiiña,1,naa,bine dxiiña,ZERO,0,1sg,correto
lii bini dxiiña'lu,1,lii,bini dxiiña,lu,1,2sg,correto
laabe bini dxiiña'be,1,laabe,bini dxiiña,be,1,3sg,correto
laanu bini dxiiña'nu,1,laanu,bini dxiiña,nu,1,1pl_incl,correto
laadu bini dxiiña'du,1,laadu,bini dxiiña,du,1,1pl_exc,correto
laatu bini dxiiña'tu,1,laatu,bini dxiiña,tu,1,2pl,correto
naa bedaneá,1,naa,bedaneá,ZERO,0,1sg,correto
lii bendane'lu,1,lii,bendane,lu,1,2sg,correto
laabe bendane'be,1,laabe,bendane,be,1,3sg,correto
laanu bendane'nu,1,laanu,bendane,nu,1,1pl_incl,correto
laadu bendane'du,1,laadu,bendane,du,1,1pl_exc,correto
laatu bendane'tu,1,laatu,bendane,tu,1,2pl,correto
naa biquiñe,1,naa,biquiñe,ZERO,0,1sg,correto
lii biquine'lu,1,lii,biquine,lu,1,2sg,correto
laabe biquine'be,1,laabe,biquine,be,1,3sg,correto
laanu biquine'nu,1,laanu,biquine,nu,1,1pl_incl,correto
laadu biquine'du,1,laadu,biquine,du,1,1pl_exc,correto
laatu biquine'tu,1,laatu,biquine,tu,1,2pl,correto
naa biá,1,naa,biá,ZERO,0,1sg,correto
lii biá'lu,1,lii,biá,lu,1,2sg,correto
laabe biá'be,1,laabe,biá,be,1,3sg,correto
laanu bidúya'nu,1,laanu,bidúya,nu,1,1pl_incl,correto
laadu bidúya'du,1,laadu,bidúya,du,1,1pl_exc,correto
laatu bidúya'tu,1,laatu,bidúya,tu,1,2pl,correto
naa yeganna,1,naa,yeganna,ZERO,0,1sg,correto
lii yeganna'lu,1,lii,yeganna,lu,1,2sg,correto
laabe yeganna'be,1,laabe,yeganna,be,1,3sg,correto
laanu yeganna'nu,1,laanu,yeganna,nu,1,1pl_incl,correto
laadu yeganna'du,1,laadu,yeganna,du,1,1pl_exc,correto
laatu yeganna'tu,1,laatu,yeganna,tu,1,2pl,correto
naa guleza,1,naa,guleza,ZERO,0,1sg,correto
lii guleza'lu,1,lii,guleza,lu,1,2sg,correto
laabe guleza'be,1,laabe,guleza,be,1,3sg,correto
laanu guleza'nu,1,laanu,guleza,nu,1,1pl_incl,correto
laadu guleza'du,1,laadu,guleza,du,1,1pl_exc,correto
laatu guleza'tu,1,laatu,guleza,tu,1,2pl,correto
naa ubigueta,1,naa,ubigueta,ZERO,0,1sg,correto
lii ubigueta'lu,1,lii,ubigueta,lu,1,2sg,correto
laabe ubigueta'be,1,laabe,ubigueta,be,1,3sg,correto
laanu ubigueta'nu,1,laanu,ubigueta,nu,1,1pl_incl,correto
laadu ubigueta'du,1,laadu,ubigueta,du,1,1pl_exc,correto
laatu ubigueta'tu,1,laatu,ubigueta,tu,1,2pl,correto
naa guuta,1,naa,guuta,ZERO,0,1sg,⁠error_apostrofe
lii guutalu,1,lii,guuta,lu,0,2sg,⁠error_apostrofe
laabe guutabe,1,laabe,guuta,be,0,3sg,⁠error_apostrofe
laanu guutanu,1,laanu,guuta,nu,0,1pl_incl,⁠error_apostrofe
laadu guutadu,1,laadu,guuta,du,0,1pl_exc,⁠error_apostrofe
laatu guutatu,1,laatu,guuta,tu,0,2pl,⁠error_apostrofe
naa gunaxhia,1,naa,gunaxhia,ZERO,0,1sg,⁠error_apostrofe
lii gunaxhiilu,1,lii,gunaxhii,lu,0,2sg,⁠error_apostrofe
laabe gunaxhiibe,1,laabe,gunaxhii,be,0,3sg,⁠error_apostrofe
laanu gunaxhiinu,1,laanu,gunaxhii,nu,0,1pl_incl,⁠error_apostrofe
laadu gunaxhiidu,1,laadu,gunaxhii,du,0,1pl_exc,⁠error_apostrofe
laatu gunaxhiitu,1,laatu,gunaxhii,tu,0,2pl,⁠error_apostrofe
naa biziide,1,naa,biziide,ZERO,0,1sg,⁠error_apostrofe
lii biziidilu,1,lii,biziidi,lu,0,2sg,⁠error_apostrofe
laabe biziidibe,1,laabe,biziidi,be,0,3sg,⁠error_apostrofe
laanu biziidinu,1,laanu,biziidi,nu,0,1pl_incl,⁠error_apostrofe
laadu biziididu,1,laadu,biziidi,du,0,1pl_exc,⁠error_apostrofe
laatu biziiditu,1,laatu,biziidi,tu,0,2pl,⁠error_apostrofe
naa guuze,1,naa,guuze,ZERO,0,1sg,⁠error_apostrofe
lii guuzelu,1,lii,guuze,lu,0,2sg,⁠error_apostrofe
laabe guuzebe,1,laabe,guuze,be,0,3sg,⁠error_apostrofe
laanu guuzenu,1,laanu,guuze,nu,0,1pl_incl,⁠error_apostrofe
laadu guuzedu,1,laadu,guuze,du,0,1pl_exc,⁠error_apostrofe
laatu guuzetu,1,laatu,guuze,tu,0,2pl,⁠error_apostrofe
naa biinda,1,naa,biinda,ZERO,0,1sg,⁠error_apostrofe
lii biindalu,1,lii,biinda,lu,0,2sg,⁠error_apostrofe
laabe biindabe,1,laabe,biinda,be,0,3sg,⁠error_apostrofe
laanu biindanu,1,laanu,biinda,nu,0,1pl_incl,⁠error_apostrofe
laadu biindadu,1,laadu,biinda,du,0,1pl_exc,⁠error_apostrofe
laatu biindatu,1,laatu,biinda,tu,0,2pl,⁠error_apostrofe
naa guziá,1,naa,guziá,ZERO,0,1sg,⁠error_apostrofe
lii guzilu,1,lii,guzi,lu,0,2sg,⁠error_apostrofe
laabe guzibe,1,laabe,guzi,be,0,3sg,⁠error_apostrofe
laanu guzinu,1,laanu,guzi,nu,0,1pl_incl,⁠error_apostrofe
laadu guzidu,1,laadu,guzi,du,0,1pl_exc,⁠error_apostrofe
laatu guzitu,1,laatu,guzi,tu,0,2pl,⁠error_apostrofe
naa binebiá,1,naa,binebiá,ZERO,0,1sg,⁠error_apostrofe
lii binibiálu,1,lii,binibiá,lu,0,2sg,⁠error_apostrofe
laabe binibiabe,1,laabe,binibia,be,0,3sg,⁠error_apostrofe
laanu binibiánu,1,laanu,binibiá,nu,0,1pl_incl,⁠error_apostrofe
laadu binibiádu,1,laadu,binibiá,du,0,1pl_exc,⁠error_apostrofe
laatu binibiátu,1,laatu,binibiá,tu,0,2pl,⁠error_apostrofe
naa bixoñe,1,naa,bixoñe,ZERO,0,1sg,⁠error_apostrofe
lii bixoñelu,1,lii,bixoñe,lu,0,2sg,⁠error_apostrofe
laabe bixoñebe,1,laabe,bixoñe,be,0,3sg,⁠error_apostrofe
laanu bixoñenu,1,laanu,bixoñe,nu,0,1pl_incl,⁠error_apostrofe
laadu bixoñedu,1,laadu,bixoñe,du,0,1pl_exc,⁠error_apostrofe
laatu bixoñetu,1,laatu,bixoñe,tu,0,2pl,⁠error_apostrofe
naa bigaya,1,naa,bigaya,ZERO,0,1sg,⁠error_apostrofe
lii bigalu,1,lii,biga,lu,0,2sg,⁠error_apostrofe
laabe bigabe,1,laabe,biga,be,0,3sg,⁠error_apostrofe
laanu biganu,1,laanu,biga,nu,0,1pl_incl,⁠error_apostrofe
laadu bigadu,1,laadu,biga,du,0,1pl_exc,⁠error_apostrofe
laatu bigatu,1,laatu,biga,tu,0,2pl,⁠error_apostrofe
naa bidiá,1,naa,bidiá,ZERO,0,1sg,⁠error_apostrofe
lii bidilu,1,lii,bidi,lu,0,2sg,⁠error_apostrofe
laabe bidibe,1,laabe,bidi,be,0,3sg,⁠error_apostrofe
laanu bidinu,1,laanu,bidi,nu,0,1pl_incl,⁠error_apostrofe
laadu bididu,1,laadu,bidi,du,0,1pl_exc,⁠error_apostrofe
laatu biditu,1,laatu,bidi,tu,0,2pl,⁠error_apostrofe
naa gudxe,1,naa,gudxe,ZERO,0,1sg,⁠error_apostrofe
lii gudxilu,1,lii,gudxi,lu,0,2sg,⁠error_apostrofe
laabe gudxibe,1,laabe,gudxi,be,0,3sg,⁠error_apostrofe
laanu gudxinu,1,laanu,gudxi,nu,0,1pl_incl,⁠error_apostrofe
