Frase,Label Real,Prediccion,Correcto
laanu bidúya'nu,1,1,True
laadu gudxite'nu,0,0,True
lii bidi'lu,1,1,True
laadu guni iquedu,0,0,True
lii binibiá,0,0,True
laabe bisana'be,1,1,True
naa biyadxiá,1,1,True
laadu gupa'nu,0,0,True
naa gudxe,1,1,True
lii bigalu,0,0,True
laanu bini'nu,1,1,True
laatu gunaba,0,0,True
laanu guca huaranu,0,0,True
laabe bisia'lu,0,0,True
naa bisenda,1,1,True
naa biina'lu,0,0,True
naa guziá'lu,0,0,True
laabe bini dxiiñabe,0,0,True
laabe biquinebe,0,0,True
naa gunna'lu,0,0,True
lii bixoñe,0,0,True
laadu bixoba'du,1,1,True
laabe guca huara'lu,0,0,True
laanu guyenu,0,0,True
lii gunna'lu,1,1,True
laabe biziidibe,0,0,True
lii bicaalu,0,0,True
laatu biuitu diidxa,0,0,True
laabe biziidibe,0,0,True
laadu bisia'nu,0,0,True
lii bidxelalu,0,0,True
laabe guuzebe,0,0,True
laanu bicaanu,0,0,True
lii bitiñelu,0,0,True
lii guleza,0,0,True
laanu bidúyanu,0,0,True
naa yeneá,1,1,True
lii bisana,0,0,True
lii guzilu,0,0,True
lii guni,0,0,True
laatu biinda,0,0,True
laabe bioa'be,1,1,True
laatu bioa,0,0,True
naa bitiñe,1,1,True
lii binibiá'lu,1,1,True
laanu bixoba'nu,1,1,True
laanu bidinu,0,0,True
laanu bisia'nu,1,1,True
laatu bidúya,0,0,True
laadu guli'du,1,1,True
laanu biinda'nu,1,1,True
laatu gupa'tu,1,1,True
laadu binibiá'du,1,1,True
lii guye'lu,1,1,True
laabe guzi'be,1,1,True
laanu yeganna'nu,1,1,True
lii bini'lu,1,1,True
laatu guuta,0,0,True
laadu guyedu,0,0,True
naa hueá'lu,0,0,True
laatu guca huaratu,0,0,True
laatu bisianda'tu,1,1,True
naa biá,1,1,True
laadu hue'du,1,1,True
