Indice,Frase,Valor label
25,lii biinda'lu,1
476,laabe biinabe,0
65,laatu gudxi'tu,1
615,laanu gunnanu,0
865,lii binda,0
280,laadu bisianda'du,1
264,naa gunna,1
539,laatu yunetu,0
850,laadu bini'nu,0
507,laanu guyenu,0
685,lii gulezalu,0
63,laanu gudxi'nu,1
694,laadu ubiguetadu,0
468,naa bicáa,1
674,laabe biábe,0
752,laabe bidi'lu,0
492,naa guniá,1
415,lii bisanalu,0
808,laadu bioa'nu,0
902,laabe bixoba'lu,0
793,lii guca huara,0
60,naa gudxe,1
135,laanu guleeza'nu,1
59,laatu bidi'tu,1
35,laatu guzi'tu,1
980,laabe guye'lu,0
740,laabe bixoñe'lu,0
219,laanu bisugaa'nu,1
976,laadu guri'nu,0
650,laabe huebe,0
775,lii guli,0
255,laanu gudxhe'nu,1
120,naa bicáa,1
490,laadu biziididu,0
664,laadu bendanedu,0
466,laadu bisendadu,0
926,laabe gunaba'lu,0
38,laabe binibia'be,1
346,laadu ubigueta'du,1
366,naa guuze,1
511,lii gudxitelu,0
738,naa bixoñe'lu,0
885,laanu yune'du,0
459,laanu bioanu,0
178,laadu bisia'du,1
1010,laabe bendane'lu,0
942,naa biui diidxa'lu,0
122,laabe bicaa'be,1
402,naa bidiá,1
370,laadu guuzedu,0
718,laadu guuze'nu,0
119,laatu bisenda'tu,1
156,naa guyá,1
377,laatu biindatu,0
460,laadu bioadu,0
651,laanu huenú,0
44,laabe bixoñe'be,1
831,laanu guleeza'du,0
751,lii bidi,0
581,laatu gunabatu,0
15,laanu biziidi'nu,1
109,lii bioa'lu,1
665,laatu bendanetu,0
531,laanu yendaanu,0
139,lii biziidi'lu,1
803,laatu bissidi,0
884,laabe yene'lu,0
567,laanu bisugaanu,0
1,lii guuta'lu,1
801,laanu bissidi'du,0
1029,laanu yeganna'du,0
83,laatu guli'tu,1
1032,naa guleza'lu,0
380,laabe guzibe,0
424,laadu gusidu,0
512,laabe gudxitebe,0
1043,laatu guleza,0
911,laatu bisianda,0
840,naa guniá'lu,0
950,laabe gudxhe'lu,0
824,laabe biina'lu,0
259,lii bitiñe'lu,1
205,lii bixoba'lu,1
4,laadu guuta'du,1
583,lii bicalu,0
654,naa bine dxiiña,1
254,laabe gudxhe'be,1
765,laanu bisana'du,0
825,laanu biina'du,0
602,laabe gudxhebe,0
258,naa bitiñe,1
291,laanu gudxiba'nu,1
322,laadu biquine'du,1
243,laanu guni ique'nu,1
703,lii gunaxhii,0
866,laabe binda'lu,0
347,laatu ubigueta'tu,1
836,laabe biziidi'lu,0
619,lii birelu,0
846,naa bine'lu,0
692,laabe ubiguetabe,0
555,laanu bixobanu,0
569,laatu bisugaatu,0
482,laabe guleezabe,0
891,laanu bisaa'du,0
158,laabe guye'be,1
881,laatu yendao,0
481,lii guleezalu,0
484,laadu guleezadu,0
330,naa yeganna,1
1001,laatu hue,0
582,naa bicá,1
93,laanu bidxela'nu,1
966,naa bireá'lu,0
387,laanu binibiánu,0
734,laabe binibia'lu,0
995,laatu gupa,0
936,naa guni ique'lu,0
209,laatu bixoba'tu,1
795,laanu guca huara'du,0
149,laatu guni'tu,1
96,naa guca huaraya,1
66,naa bisana,1
947,laatu biui diidxa,0
285,laanu guye'nu,1
166,laadu gudxite'du,1
310,laadu bini dxiiña'du,1
643,lii gupalu,0
334,laadu yeganna'du,1
679,lii yegannalu,0
3,laanu guuta'nu,1
1018,laadu biquine'nu,0
390,naa bixoñe,1
436,laadu bizulodu,0
755,laatu bidi,0
918,naa gudiide'lu,0
916,laadu bisugaa'nu,0
499,lii binilu,0
344,laabe ubigueta'be,1
339,laanu guleza'nu,1
904,laadu bixoba'nu,0
155,laatu bini'tu,1
590,laabe guni iquebe,0
303,laanu hue'nu,1
472,laadu bicaadu,0
131,laatu biina'tu,1
95,laatu bidxela'tu,1
309,laanu bini dxiiña'nu,1
875,laatu bisia,0
92,laabe bidxela'be,1
128,laabe biina'be,1
586,laadu bicadu,0
914,laabe bisugaa'lu,0
549,laanu biyadxinu,0
820,laadu bicaa'nu,0
202,laadu biyadxi'du,1
659,laatu bini dxiiñatu,0
618,naa bireá,1
211,lii bisianda'lu,1
1017,laanu biquine'du,0
420,naa guse,1
779,laatu guli,0
944,laabe biui'lu diidxa,0
407,laatu biditu,0
758,laabe gudxi'lu,0
56,laabe bidi'be,1
807,laanu bioa'du,0
31,lii guzi'lu,1
693,laanu ubiguetanu,0
146,laabe guni'be,1
1041,laanu guleza'du,0
678,naa yeganna,1
302,laabe hue'be,1
78,naa guliá,1
533,laatu yendaotu,0
21,laanu guuze'nu,1
502,laadu binidu,0
519,laanu bindanu,0
554,laabe bixobabe,0
877,lii yendaa,0
710,laabe biziidi'lu,0
890,laabe bisaa'lu,0
982,laadu guye'nu,0
403,lii bidilu,0
563,laatu bisiandatu,0
18,naa guuze,1
1000,laadu hue'nu,0
908,laabe bisianda'lu,0
14,laabe biziidi'be,1
863,laatu gudxite,0
220,laadu bisugaa'du,1
535,lii yenelu,0
428,laabe gulibe,0
395,laatu bixoñetu,0
256,laadu gudxhe'du,1
229,lii gunaba'lu,1
903,laanu bixoba'du,0
67,lii bisana'lu,1
625,lii bisiandalu,0
33,laanu guzi'nu,1
108,naa bioá,1
410,laabe gudxibe,0
1024,laadu bidúya'nu,0
75,laanu gusi'nu,1
354,naa gunaxhia,1
17,laatu biziidi'tu,1
244,laadu guni ique'du,1
201,laanu biyadxi'nu,1
721,lii biinda,0
873,laanu bisia'du,0
829,lii guleeza,0
181,lii yendaa'lu,1
910,laadu bisianda'nu,0
934,laadu bica'nu,0
167,laatu gudxite'tu,1
419,laatu bisanatu,0
262,laadu bitine'du,1
510,naa gudxite,1
369,laanu guuzenu,0
479,laatu biinatu,0
62,laabe gudxi'be,1
463,lii bisendalu,0
206,laabe bixoba'be,1
537,laanu yunenu,0
671,laatu biquinetu,0
984,naa gudxiba'lu,0
102,naa bisiide,1
508,laadu guyedu,0
788,laabe bidxela'lu,0
999,laanu hue'du,0
355,lii gunaxhiilu,0
448,laadu guca huaradu,0
86,laabe bizuló'be,1
375,laanu biindanu,0
225,laanu gudiidi'nu,1
757,lii gudxi,0
558,naa bisianda,1
970,laadu bire'nu,0
741,laanu bixoñe'du,0
239,laatu bica'tu,1
8,laabe gunaxhii'be,1
359,laatu gunaxhiitu,0
921,laanu gudiidi'du,0
598,laadu biuidu diidxa,0
301,lii hue'lu,1
787,lii bidxela,0
691,lii ubiguetalu,0
332,laabe yeganna'be,1
844,laadu guni'nu,0
159,laanu guye'nu,1
343,lii ubigueta'lu,1
57,laanu bidi'nu,1
689,laatu gulezatu,0
780,naa bizuloá'lu,0
853,lii guye,0
409,lii gudxilu,0
268,laadu gunna'du,1
631,lii guyelu,0
892,laadu bisaa'nu,0
232,laadu gunaba'du,1
19,lii guuze'lu,1
932,laabe bica'lu,0
541,lii bisaalu,0
77,laatu gusi'tu,1
612,naa gunna,1
485,laatu guleezatu,0
435,laanu bizulonu,0
789,laanu bidxela'du,0
263,laatu bitine'tu,1
640,laadu gudxibadu,0
451,lii bissidilu,0
148,laadu guni'du,1
652,laadu huedu,0
279,laanu bisianda'nu,1
601,lii gudxhelu,0
180,naa yendaaya,1
329,laatu bidúya'tu,1
802,laadu bissidi'nu,0
777,laanu guli'du,0
335,laatu yeganna'tu,1
811,lii bisenda,0
287,laatu guye'tu,1
649,lii huelu,0
53,laatu biga'tu,1
193,lii bisaa'lu,1
331,lii yeganna'lu,1
812,laabe bisenda'lu,0
839,laatu biziidi,0
43,lii bixoñe'lu,1
300,naa hueá,1
943,lii biui diidxa,0
105,laanu bissidi'nu,1
556,laadu bixobadu,0
501,laanu bininu,0
13,lii biziidi'lu,1
623,laatu biretu,0
577,lii gunabalu,0
771,laanu gusi'du,0
423,laanu gusinu,0
345,laanu ubigueta'nu,1
989,laatu gudxiba,0
952,laadu gudxhe'nu,0
883,lii yene,0
116,laabe bisenda'be,1
212,laabe bisianda'be,1
297,laanu gupa'nu,1
513,laanu gudxitenu,0
367,lii guuzelu,0
719,laatu guuze,0
215,laatu bisianda'tu,1
64,laadu gudxi'du,1
676,laadu bidúyadu,0
316,laadu bendane'du,1
667,lii biquinelu,0
663,laanu bendanenu,0
857,laatu guye,0
234,naa bicá,1
622,laadu biredu,0
324,naa biá,1
503,laatu binitu,0
804,naa bioá'lu,0
118,laadu bisenda'du,1
147,laanu guni'nu,1
294,naa gupa,1
568,laadu bisugaadu,0
604,laadu gudxhedu,0
870,naa bisiaya'lu,0
941,laatu guni ique,0
1031,laatu yeganna,0
242,laabe guni ique'be,1
869,laatu binda,0
588,naa guni ique,1
197,laatu bisaa'tu,1
306,naa bine dxiiña,1
340,laadu guleza'du,1
1034,laabe guleza'lu,0
550,laadu biyadxidu,0
400,laadu bigadu,0
727,lii guzi,0
372,naa biinda,1
165,laanu gudxite'nu,1
421,lii gusilu,0
596,laabe biuibe diidxa,0
107,laatu bissidi'tu,1
964,laadu gunna'nu,0
446,laabe guca huarabe,0
735,laanu binibiá'du,0
798,naa bisiide'lu,0
11,laatu gunaxhii'tu,1
336,naa guleza,1
580,laadu gunabadu,0
922,laadu gudiidi'nu,0
142,laadu biziidi'du,1
192,naa bisaaya,1
579,laanu gunabanu,0
169,lii binda'lu,1
686,laabe gulezabe,0
843,laanu guni'du,0
290,laabe gudxiba'be,1
326,laabe biá'be,1
427,lii gulilu,0
861,laanu gudxite'du,0
351,laanu guutanu,0
121,lii bicaa'lu,1
909,laanu bisianda'du,0
682,laadu yegannadu,0
130,laadu biina'du,1
1036,laadu guleza'nu,0
437,laatu bizulotu,0
123,laanu bicaa'nu,1
270,naa bireá,1
321,laanu biquine'nu,1
5,laatu guuta'tu,1
413,laatu gudxitu,0
454,laadu bissididu,0
630,naa guyá,1
805,lii bioa,0
81,laanu guli'nu,1
247,lii biui'lu diidxa,1
704,laabe gunaxhii'lu,0
223,lii gudiidi'lu,1
720,naa biinda'lu,0
860,laabe gudxite'lu,0
124,laadu bicaa'du,1
361,lii biziidilu,0
414,naa bisana,1
906,naa bisianda'lu,0
194,laabe bisaa'be,1
937,lii guni ique,0
89,laatu bizulo'tu,1
547,lii biyadxilu,0
896,laabe biyadxi'lu,0
221,laatu bisugaa'tu,1
1015,lii biquine,0
657,laanu bini dxiiñanu,0
827,laatu biina,0
204,naa bixoba,1
610,laadu bitinedu,0
422,laabe gusibe,0
87,laanu bizulo'nu,1
284,laabe guye'be,1
538,laadu yunedu,0
358,laadu gunaxhiidu,0
641,laatu gudxibatu,0
712,laadu biziidi'nu,0
491,laatu biziiditu,0
800,laabe bissidi'lu,0
770,laabe gusi'lu,0
540,naa bisaaya,1
797,laatu guca huara,0
238,laadu bica'du,1
199,lii biyadxi'lu,1
6,naa gunaxhia,1
2,laabe guuta'be,1
113,laatu bioa'tu,1
647,laatu gupatu,0
978,naa guyá'lu,0
184,laadu yendao'du,1
260,laabe bitine'be,1
642,naa gupa,1
566,laabe bisugaabe,0
879,laanu yendaa'du,0
224,laabe gudiidi'be,1
632,laabe guyebe,0
683,laatu yegannatu,0
342,naa ubigueta,1
979,lii guyá,0
983,laatu guca,0
938,laabe guni ique'lu,0
138,naa biziide,1
443,laatu bidxelatu,0
401,laatu bigatu,0
320,laabe biquine'be,1
597,laanu biuinu diidxa,0
818,laabe bicaa'lu,0
505,lii guyelu,0
542,laabe bisaabe,0
477,laanu biinanu,0
967,lii bire,0
1014,naa biquiñe'lu,0
399,laanu biganu,0
888,naa bisaaya'lu,0
99,laanu guca huara'nu,1
430,laadul gulidu,0
935,laatu bica,0
450,naa bisiide,1
433,lii bizulolu,0
292,laadu gudxiba'du,1
328,laadu bidúya'du,1
1009,lii bendane,0
474,naa biina,1
195,laanu bisaa'nu,1
514,laadu gudxitedu,0
882,naa yeneá'lu,0
705,laanu gunaxhii'du,0
1002,naa bine dxiiña'lu,0
570,naa gudiide,1
1027,lii yeganna,0
129,laanu biina'nu,1
189,laanu yune'nu,1
859,lii gudxite,0
971,laatu bire,0
722,laabe biinda'lu,0
747,laanu biga'du,0
9,laanu gunaxhii'nu,1
574,laadu gudiididu,0
854,laabe guye'lu,0
150,naa bine,1
183,laanu yendaa'nu,1
893,laatu bisaa,0
434,laabe bizulóbe,0
760,laadu gudxi'nu,0
961,lii gunna,0
20,laabe guuze'be,1
1019,laatu biquine,0
200,laabe biyadxi'be,1
562,laadu bisiandadu,0
551,laatu biyadxitu,0
46,laadu bixoñe'du,1
986,laabe gudxiba'lu,0
289,lii gudxiba'lu,1
695,laatu ubiguetatu,0
895,lii biyadxi,0
164,laabe gudxite'be,1
22,laadu guuze'du,1
61,lii gudxi'lu,1
955,lii bitiñe,0
559,lii bisiandalu,0
637,lii gudxibalu,0
661,lii bendanelu,0
144,naa guniá,1
228,naa gunaba,1
337,lii guleza'lu,1
698,laabe guuta'lu,0
613,lii gunnalu,0
394,laadu bixoñedu,0
900,naa bixoba'lu,0
171,laanu binda'nu,1
136,laadu guleeza'du,1
293,laatu gudxiba'tu,1
250,laadu biui'du diidxa,1
236,laabe bica'be,1
522,naa bisiaya,1
626,laabe bisiandabe,0
248,laabe biui'be diidxa,1
42,naa bixoñe,1
578,laabe gunababe,0
750,naa bidiá'lu,0
117,laanu bisenda'nu,1
614,laabe gunnabe,0
743,laatu bixoñe,0
925,lii gunaba,0
706,laadu gunaxhii'nu,0
585,laanu bicanu,0
